time,Coincident Index,Coincident ann,manufac,home,manufac,home
Jan-98,91.1,-4.607329842931939,21907159.708333332,44288346.125,-0.03330932927084751,1.9322279986305757
Feb-98,88.9,-7.202505219206667,21826347.333333332,44394595.041666664,-1.7253272402812936,2.8023305505891605
Mar-98,86.1,-11.601642710472293,21757612.583333332,44519443.416666664,-2.9703183850334214,1.6407315238474496
Apr-98,86.3,-9.062170706006334,21700342.666666664,44719882.875,-1.9222202811662759,6.018258046350455
May-98,85.3,-11.145833333333332,21631012.916666664,44890478.75,-3.2165358073741213,2.57317615457211
Jun-98,84.7,-11.77083333333333,21554722.666666664,45006145.875,-3.550140197269136,3.07741060444513
Jul-98,84.9,-11.377870563674309,21473645.958333332,45089587.625,-4.140296078563843,3.042023929783788
Aug-98,83.8,-12.251308900523561,21403573.291666664,45087567.541666664,-4.236892073443799,2.194579813981301
Sep-98,84.6,-10.476190476190483,21360713.791666664,45154992.08333333,-3.0521899068658986,3.7672837757808386
Oct-98,84.1,-10.341151385927505,21308339.708333332,45306805.83333333,-2.9352833932989375,7.285301962754032
Nov-98,83.7,-9.021739130434781,21243316.75,45359393.20833333,-4.546591537579281,2.81957846894183
Dec-98,83.6,-8.533916849015332,21205941.0,45381163.0,-3.8814908440626295,4.044643019226357
Jan-99,84.0,-7.793633369923159,21186125.958333332,45338485.25,-5.280208309154855,0.7166356226703474
Feb-99,84.2,-5.286839145106869,21194967.791666664,45295896.041666664,-2.797776178003264,-0.843591080885131
Mar-99,85.1,-1.1614401858304313,21243719.5,45483055.70833333,-2.1058934228452286,4.797720180487297
Apr-99,84.8,-1.7381228273464666,21278691.0,45732490.95833333,-3.7923389220177794,3.7629483155220633
May-99,85.3,0.0,21316393.625,45819540.41666666,-3.565833578915134,-0.8963736692833124
Jun-99,85.2,0.5903187721369552,21376247.041666664,45853008.83333333,-0.6244295958939272,2.2466998434431895
Jul-99,86.1,1.4134275618374437,21428945.625,45955532.91666666,-1.4645502636300933,-4.031011145961816
Aug-99,87.1,3.9379474940334003,21503899.625,46065475.75,2.5675903303335357,1.6494638079817658
Sep-99,88.0,4.018912529550844,21600789.083333332,46275501.375,2.778893032285623,7.102115190308522
Oct-99,88.3,4.994054696789529,21674205.166666664,46450234.83333333,0.9840317827401135,5.4473282692929725
Nov-99,89.0,6.332138590203096,21744605.625,46494476.041666664,3.293225306014813,-0.7077578888945779
Dec-99,89.1,6.578947368421062,21823946.25,46577559.0,3.6139325679394485,2.5798483190278665
Jan-00,89.5,6.547619047619047,21912084.458333332,46778391.666666664,2.590519046784223,2.7476029421594106
