DATE,TIME,electricity
2020/1/7,17:00,1205
2020/1/7,18:00,1179
2020/1/7,19:00,1139
2020/1/7,20:00,1098
2020/1/7,21:00,1050
2020/1/7,22:00,1021
2020/1/7,23:00,1013
2020/1/8,0:00,979
2020/1/8,1:00,1013
2020/1/8,2:00,1050
2020/1/8,3:00,1069
2020/1/8,4:00,1087
2020/1/8,5:00,1111
2020/1/8,6:00,1144
2020/1/8,7:00,1139
2020/1/8,8:00,1209
2020/1/8,9:00,1264
2020/1/8,10:00,1252
2020/1/8,11:00,1235
2020/1/8,12:00,1158
2020/1/8,13:00,1180
2020/1/8,14:00,1156
2020/1/8,15:00,1157
2020/1/8,16:00,1192
2020/1/8,17:00,1188
2020/1/8,18:00,1159
2020/1/8,19:00,1117
2020/1/8,20:00,1070
2020/1/8,21:00,1011
2020/1/8,22:00,983
2020/1/8,23:00,966
2020/1/9,0:00,932
2020/1/9,1:00,958
2020/1/9,2:00,993
2020/1/9,3:00,1018
2020/1/9,4:00,1036
2020/1/9,5:00,1057
2020/1/9,6:00,1085
2020/1/9,7:00,1080
2020/1/9,8:00,1145
2020/1/9,9:00,1185
2020/1/9,10:00,1163
2020/1/9,11:00,1135
2020/1/9,12:00,1078
2020/1/9,13:00,1102
2020/1/9,14:00,1097
2020/1/9,15:00,1097
2020/1/9,16:00,1153
2020/1/9,17:00,1165
2020/1/9,18:00,1147
2020/1/9,19:00,1111
2020/1/9,20:00,1071
2020/1/9,21:00,1021
2020/1/9,22:00,988
2020/1/9,23:00,977
2020/1/10,0:00,946
2020/1/10,1:00,979
2020/1/10,2:00,1013
2020/1/10,3:00,1040
2020/1/10,4:00,1061
2020/1/10,5:00,1085
2020/1/10,6:00,1115
2020/1/10,7:00,1107
2020/1/10,8:00,1164
2020/1/10,9:00,1192
2020/1/10,10:00,1168
2020/1/10,11:00,1139
2020/1/10,12:00,1069
2020/1/10,13:00,1113
2020/1/10,14:00,1107
2020/1/10,15:00,1100
2020/1/10,16:00,1151
2020/1/10,17:00,1165
2020/1/10,18:00,1137
2020/1/10,19:00,1097
2020/1/10,20:00,1054
2020/1/10,21:00,1006
2020/1/10,22:00,983
2020/1/10,23:00,982
2020/1/11,0:00,949
2020/1/11,1:00,983
2020/1/11,2:00,1018
2020/1/11,3:00,1039
2020/1/11,4:00,1047
2020/1/11,5:00,1053
2020/1/11,6:00,1047
2020/1/11,7:00,1028
2020/1/11,8:00,1072
2020/1/11,9:00,1078
2020/1/11,10:00,1050
2020/1/11,11:00,1009
2020/1/11,12:00,983
2020/1/11,13:00,967
2020/1/11,14:00,954
2020/1/11,15:00,981
2020/1/11,16:00,1038
2020/1/11,17:00,1069
2020/1/11,18:00,1051
2020/1/11,19:00,1030
2020/1/11,20:00,996
2020/1/11,21:00,950
2020/1/11,22:00,922
2020/1/11,23:00,924
2020/1/12,0:00,906
2020/1/12,1:00,932
2020/1/12,2:00,970
2020/1/12,3:00,992
2020/1/12,4:00,1004
2020/1/12,5:00,994
2020/1/12,6:00,969
2020/1/12,7:00,938
2020/1/12,8:00,981
2020/1/12,9:00,1009
2020/1/12,10:00,967
2020/1/12,11:00,939
2020/1/12,12:00,930
2020/1/12,13:00,907
2020/1/12,14:00,903
2020/1/12,15:00,902
2020/1/12,16:00,972
2020/1/12,17:00,1042
2020/1/12,18:00,1048
2020/1/12,19:00,1031
2020/1/12,20:00,1005
2020/1/12,21:00,968
2020/1/12,22:00,924
2020/1/12,23:00,918
2020/1/13,0:00,897
2020/1/13,1:00,922
2020/1/13,2:00,957
2020/1/13,3:00,980
2020/1/13,4:00,991
2020/1/13,5:00,990
2020/1/13,6:00,981
2020/1/13,7:00,982
2020/1/13,8:00,1068
2020/1/13,9:00,1094
2020/1/13,10:00,1067
2020/1/13,11:00,1050
2020/1/13,12:00,1030
2020/1/13,13:00,1013
2020/1/13,14:00,999
2020/1/13,15:00,1000
2020/1/13,16:00,1066
2020/1/13,17:00,1125
2020/1/13,18:00,1129
2020/1/13,19:00,1105
2020/1/13,20:00,1075
2020/1/13,21:00,1023
2020/1/13,22:00,958
2020/1/13,23:00,949
2020/1/14,0:00,924
2020/1/14,1:00,955
2020/1/14,2:00,990
2020/1/14,3:00,1023
2020/1/14,4:00,1042
2020/1/14,5:00,1074
2020/1/14,6:00,1116
2020/1/14,7:00,1111
2020/1/14,8:00,1176
2020/1/14,9:00,1226
2020/1/14,10:00,1203
2020/1/14,11:00,1186
2020/1/14,12:00,1095
2020/1/14,13:00,1119
2020/1/14,14:00,1116
2020/1/14,15:00,1123
2020/1/14,16:00,1182
2020/1/14,17:00,1191
2020/1/14,18:00,1162
2020/1/14,19:00,1116
2020/1/14,20:00,1075
2020/1/14,21:00,1020
2020/1/14,22:00,990
2020/1/14,23:00,982
2020/1/15,0:00,955
2020/1/15,1:00,987
2020/1/15,2:00,1027
2020/1/15,3:00,1050
2020/1/15,4:00,1070
2020/1/15,5:00,1096
2020/1/15,6:00,1137
2020/1/15,7:00,1130
2020/1/15,8:00,1206
2020/1/15,9:00,1251
2020/1/15,10:00,1237
2020/1/15,11:00,1215
2020/1/15,12:00,1147
2020/1/15,13:00,1166
2020/1/15,14:00,1157
2020/1/15,15:00,1157
2020/1/15,16:00,1213
2020/1/15,17:00,1214
2020/1/15,18:00,1196
2020/1/15,19:00,1158
2020/1/15,20:00,1118
2020/1/15,21:00,1066
2020/1/15,22:00,1024
2020/1/15,23:00,1022
2020/1/16,0:00,986
2020/1/16,1:00,1012
2020/1/16,2:00,1049
2020/1/16,3:00,1078
2020/1/16,4:00,1098
2020/1/16,5:00,1127
2020/1/16,6:00,1171
2020/1/16,7:00,1153
2020/1/16,8:00,1200
2020/1/16,9:00,1226
2020/1/16,10:00,1187
2020/1/16,11:00,1164
2020/1/16,12:00,1111
2020/1/16,13:00,1131
2020/1/16,14:00,1139
2020/1/16,15:00,1138
2020/1/16,16:00,1198
2020/1/16,17:00,1217
2020/1/16,18:00,1193
2020/1/16,19:00,1151
2020/1/16,20:00,1107
2020/1/16,21:00,1052
2020/1/16,22:00,1013
2020/1/16,23:00,1007
2020/1/17,0:00,971
2020/1/17,1:00,1002
2020/1/17,2:00,1037
2020/1/17,3:00,1058
